# Energy(eV) COHP
-1.137203447179881124e+02 0.000000000000000000e+00
-1.136703447179881152e+02 0.000000000000000000e+00
-1.136203447179881181e+02 0.000000000000000000e+00
-1.135703447179881209e+02 0.000000000000000000e+00
-1.135203447179881238e+02 0.000000000000000000e+00
-1.134703447179881266e+02 0.000000000000000000e+00
-1.134203447179881294e+02 0.000000000000000000e+00
-1.133703447179881323e+02 0.000000000000000000e+00
-1.133203447179881351e+02 0.000000000000000000e+00
-1.132703447179881380e+02 0.000000000000000000e+00
-1.132203447179881408e+02 0.000000000000000000e+00
-1.131703447179881437e+02 0.000000000000000000e+00
-1.131203447179881465e+02 0.000000000000000000e+00
-1.130703447179881493e+02 0.000000000000000000e+00
-1.130203447179881522e+02 0.000000000000000000e+00
-1.129703447179881550e+02 0.000000000000000000e+00
-1.129203447179881579e+02 0.000000000000000000e+00
-1.128703447179881607e+02 0.000000000000000000e+00
-1.128203447179881636e+02 0.000000000000000000e+00
-1.127703447179881664e+02 0.000000000000000000e+00
-1.127203447179881692e+02 0.000000000000000000e+00
-1.126703447179881721e+02 0.000000000000000000e+00
-1.126203447179881749e+02 0.000000000000000000e+00
-1.125703447179881778e+02 0.000000000000000000e+00
-1.125203447179881806e+02 0.000000000000000000e+00
-1.124703447179881834e+02 0.000000000000000000e+00
-1.124203447179881863e+02 0.000000000000000000e+00
-1.123703447179881891e+02 0.000000000000000000e+00
-1.123203447179881920e+02 0.000000000000000000e+00
-1.122703447179881948e+02 0.000000000000000000e+00
-1.122203447179881977e+02 0.000000000000000000e+00
-1.121703447179882005e+02 0.000000000000000000e+00
-1.121203447179882033e+02 0.000000000000000000e+00
-1.120703447179882062e+02 0.000000000000000000e+00
-1.120203447179882090e+02 0.000000000000000000e+00
-1.119703447179882119e+02 0.000000000000000000e+00
-1.119203447179882147e+02 0.000000000000000000e+00
-1.118703447179882176e+02 0.000000000000000000e+00
-1.118203447179882204e+02 0.000000000000000000e+00
-1.117703447179882232e+02 0.000000000000000000e+00
-1.117203447179882261e+02 0.000000000000000000e+00
-1.116703447179882289e+02 0.000000000000000000e+00
-1.116203447179882318e+02 0.000000000000000000e+00
-1.115703447179882346e+02 0.000000000000000000e+00
-1.115203447179882374e+02 0.000000000000000000e+00
-1.114703447179882403e+02 0.000000000000000000e+00
-1.114203447179882431e+02 0.000000000000000000e+00
-1.113703447179882460e+02 0.000000000000000000e+00
-1.113203447179882488e+02 0.000000000000000000e+00
-1.112703447179882517e+02 0.000000000000000000e+00
-1.112203447179882545e+02 0.000000000000000000e+00
-1.111703447179882573e+02 0.000000000000000000e+00
-1.111203447179882602e+02 0.000000000000000000e+00
-1.110703447179882630e+02 0.000000000000000000e+00
-1.110203447179882659e+02 1.185757550018991706e-322
-1.109703447179882687e+02 1.605560188633840482e-318
-1.109203447179882716e+02 2.078618251651667829e-314
-1.108703447179882744e+02 2.527992366414869417e-310
-1.108203447179882772e+02 2.888205595861698123e-306
-1.107703447179882801e+02 3.099784019349360833e-302
-1.107203447179882829e+02 3.125254458154283145e-298
-1.106703447179882858e+02 2.959985352474460148e-294
-1.106203447179882886e+02 2.633562059925621832e-290
-1.105703447179882914e+02 2.201136257046785203e-286
-1.105203447179882943e+02 1.728220704756315910e-282
-1.104703447179882971e+02 1.274676224140853562e-278
-1.104203447179883000e+02 8.831783982262829933e-275
-1.103703447179883028e+02 5.748364432881169632e-271
-1.103203447179883057e+02 3.514688542098160503e-267
-1.102703447179883085e+02 2.018717034594116046e-263
-1.102203447179883113e+02 1.089204460181473915e-259
-1.101703447179883142e+02 5.520621860886926303e-256
-1.101203447179883170e+02 2.628514842147903588e-252
-1.100703447179883199e+02 1.175644114373289742e-248
-1.100203447179883227e+02 4.939505015151573723e-245
-1.099703447179883256e+02 1.949540012850680779e-241
-1.099203447179883284e+02 7.228047987103117900e-238
-1.098703447179883312e+02 2.517381118676335148e-234
-1.098203447179883341e+02 8.235971368571991691e-231
-1.097703447179883369e+02 2.531146995712526507e-227
-1.097203447179883398e+02 7.307271978447506743e-224
-1.096703447179883426e+02 1.981650846710732669e-220
-1.096203447179883455e+02 5.048140824013638257e-217
-1.095703447179883483e+02 1.207999187524407131e-213
-1.095203447179883511e+02 2.715382195635649734e-210
-1.094703447179883540e+02 5.733536776990872569e-207
-1.094203447179883568e+02 1.137207184513653163e-203
